"action","agency_names","comment_url","comments_close_on","effective_on","html_url","pdf_url","publication_date","signing_date","title","topics","abstract"
"","Health and Human Services Department; Centers for Disease Control and Prevention","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06577/agency-forms-undergoing-paperwork-reduction-act-review","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06577.pdf","04/04/2017","","Agency Forms Undergoing Paperwork Reduction Act Review","",""
"Notice of application.","Justice Department; Drug Enforcement Administration","","05/04/2017","","https://www.federalregister.gov/documents/2017/04/04/2017-06555/importer-of-controlled-substances-application-xcelience","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06555.pdf","04/04/2017","","Importer of Controlled Substances Application: Xcelience","",""
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06616/notice-of-electric-quarterly-report-users-group-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06616.pdf","04/04/2017","","Notice of Electric Quarterly Report Users Group Meeting","",""
"Announcement of monthly planning meetings.","Civil Rights Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06624/agenda-and-notice-of-public-meeting-of-the-delaware-advisory-committee","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06624.pdf","04/04/2017","","Agenda and Notice of Public Meeting of the Delaware Advisory Committee","","Notice is hereby given, pursuant to the provisions of the rules and regulations of the U.S. Commission on Civil Rights (Commission), and the Federal Advisory Committee Act (FACA), that a planning meeting of the Delaware State Advisory Committee to the Commission will convene by conference call, on Monday, April 17 at 4:00 p.m. (EDT). The purpose of the meeting is to make preparations for a briefing meeting on Policing and Implicit Bias in Delaware."
"Final rule.","Commerce Department; National Oceanic and Atmospheric Administration","","","06/05/2017","https://www.federalregister.gov/documents/2017/04/04/2017-06591/atlantic-highly-migratory-species-atlantic-shark-management-measures-final-amendment-5b","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06591.pdf","04/04/2017","","Atlantic Highly Migratory Species; Atlantic Shark Management Measures; Final Amendment 5b","Fisheries; Fishing; Fishing vessels; Foreign relations; Imports; Penalties; Reporting and recordkeeping requirements; Treaties","NMFS is amending the 2006 Consolidated Atlantic Highly Migratory Species (HMS) Fishery Management Plan (FMP) based on the results of the 2016 stock assessment update for Atlantic dusky sharks. Based on this assessment, NMFS determined that the dusky shark stock remains overfished and is experiencing overfishing. Consistent with the Magnuson-Stevens Fishery Conservation and Management Act (Magnuson- Stevens Act), NMFS is implementing management measures that will reduce fishing mortality on dusky sharks to end overfishing and rebuild the dusky shark population consistent with legal requirements. The final measures could affect HMS-permitted commercial and recreational fishermen who harvest sharks or whose fishing vessels interact with sharks in the Atlantic Ocean, including the Gulf of Mexico and Caribbean Sea."
"","State Department","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06648/eo-13224-designation-of-shane-dominic-crawford-aka-asadullah-aka-abu-sad-at-trinidadi-aka-shane","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06648.pdf","04/04/2017","","E.O. 13224 Designation of Shane Dominic Crawford, aka Asadullah, aka Abu Sa'd at-Trinidadi, aka Shane Asadullah Crawford, aka Asad, as a Specially Designated Global Terrorist","",""
"","Health and Human Services Department; National Institutes of Health","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06552/national-institute-on-aging-notice-of-closed-meetings","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06552.pdf","04/04/2017","","National Institute on Aging; Notice of Closed Meetings","",""
"","Agriculture Department","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06582/submission-for-omb-review-comment-request","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06582.pdf","04/04/2017","03/30/2017","Submission for OMB Review; Comment Request","",""
"Notice of open meeting.","Judicial Conference of the United States","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06620/meeting-of-the-judicial-conference-advisory-committee-on-rules-of-appellate-procedure","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06620.pdf","04/04/2017","","Meeting of the Judicial Conference Advisory Committee on Rules of Appellate Procedure","","The Advisory Committee on Rules of Appellate Procedure will hold a meeting on May 2, 2017. The meeting will be open to public observation but not participation. An agenda and supporting materials will be posted at least 7 days in advance of the meeting at: http:// www.uscourts.gov/rules-policies/records-and-archives-rules-committees/ agenda-books."
"Notice and request for comments.","Treasury Department; Alcohol and Tobacco Tax and Trade Bureau","","06/05/2017","","https://www.federalregister.gov/documents/2017/04/04/2017-06549/proposed-information-collections-comment-request-no-63","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06549.pdf","04/04/2017","","Proposed Information Collections; Comment Request (No. 63)","","As part of our continuing effort to reduce paperwork and respondent burden, and as required by the Paperwork Reduction Act of 1995, we invite comments on the proposed or continuing information collections listed below in this notice."
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06609/redbed-plains-wind-farm-llc-supplemental-notice-that-initial-market-based-rate-filing-includes","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06609.pdf","04/04/2017","","Redbed Plains Wind Farm LLC; Supplemental Notice That Initial Market-Based Rate Filing Includes Request for Blanket Section 204 Authorization","",""
"Notice of meeting.","Agriculture Department; Forest Service","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06654/black-hills-national-forest-advisory-board","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06654.pdf","04/04/2017","","Black Hills National Forest Advisory Board","","The Black Hills National Forest Advisory Board (Board) will meet in Rapid City, South Dakota. The Board is established consistent with the Federal Advisory Committee Act of 1972 (5 U.S.C. App. II), the Forest and Rangeland Renewable Resources Planning Act of 1974 (16 U.S.C. 1600 et. seq.), the National Forest Management Act of 1976 (16 U.S.C. 1612), and the Federal Public Lands Recreation Enhancement Act (Pub. L. 108-447). Additional information concerning the Board, including the meeting summary/minutes, can be found by visiting the Board's Web site at: http://www.fs.usda.gov/main/blackhills/ workingtogether/advisorycommittees."
"Announcement of review.","Environmental Protection Agency","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06522/review-of-the-clean-power-plan","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06522.pdf","04/04/2017","","Review of the Clean Power Plan","","The U.S. Environmental Protection Agency (EPA) announces that it is reviewing and, if appropriate will initiate proceedings to suspend, revise or rescind the Clean Power Plan."
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06602/combined-notice-of-filings-1","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06602.pdf","04/04/2017","","Combined Notice of Filings #1","",""
"","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06691/sunshine-act-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06691.pdf","04/04/2017","","Sunshine Act Meeting","",""
"","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06568/self-regulatory-organizations-nyse-mkt-llc-notice-of-designation-of-a-longer-period-for-commission","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06568.pdf","04/04/2017","03/29/2017","Self-Regulatory Organizations; NYSE MKT LLC; Notice of Designation of a Longer Period for Commission Action on a Proposed Rule Change Relating to Market Makers Applicable When the Exchange Transitions Trading to Pillar, the Exchange's New Trading Technology Platform","",""
"Notice of meeting.","Civil Rights Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06554/notice-of-public-meeting-of-the-tennessee-advisory-committee","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06554.pdf","04/04/2017","","Notice of Public Meeting of the Tennessee Advisory Committee","","Notice is hereby given, pursuant to the provisions of the rules and regulations of the U.S. Commission on Civil Rights (Commission) and the Federal Advisory Committee Act that the Tennessee (State) Advisory Committee will hold a meeting on Wednesday, April 19, 2017 for discussing hearing dates for a committee project on municipal fees and fines."
"","Justice Department; Antitrust Division","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06587/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-open-platform-for","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06587.pdf","04/04/2017","","Notice Pursuant to the National Cooperative Research and Production Act of 1993-Open Platform for NFV Project, Inc.","",""
"","Railroad Retirement Board","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06623/actuarial-advisory-committee-with-respect-to-the-railroad-retirement-account-notice-of-public","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06623.pdf","04/04/2017","","Actuarial Advisory Committee With Respect to the Railroad Retirement Account; Notice of Public Meeting","",""
"30-Day notice.","Small Business Administration","","05/04/2017","","https://www.federalregister.gov/documents/2017/04/04/2017-06635/reporting-and-recordkeeping-requirements-under-omb-review","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06635.pdf","04/04/2017","","Reporting and Recordkeeping Requirements Under OMB Review","","The Small Business Administration (SBA) is publishing this notice to comply with requirements of the Paperwork Reduction Act (PRA) (44 U.S.C. Chapter 35), which requires agencies to submit proposed reporting and recordkeeping requirements to OMB for review and approval, and to publish a notice in the Federal Register notifying the public that the agency has made such a submission. This notice also allows an additional 30 days for public comments."
"","Commerce Department; International Trade Administration","","","04/04/2017","https://www.federalregister.gov/documents/2017/04/04/2017-06630/certain-carbon-and-alloy-steel-cut-to-length-plate-from-italy-final-determination-of-sales-at-less","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06630.pdf","04/04/2017","","Certain Carbon and Alloy Steel Cut-to-Length Plate From Italy: Final Determination of Sales at Less Than Fair Value and Final Affirmative Determination of Critical Circumstances","","The Department of Commerce (the Department) determines that certain carbon and alloy steel cut-to-length plate (CTL plate) from Italy is being, or is likely to be, sold in the United States at less than fair value (LTFV). In addition, we determine that critical circumstances exist with respect to imports of the subject merchandise. The period of investigation (POI) is April 1, 2015, through March 31, 2016. The final dumping margins of sales at LTFV are listed below in the ``Final Determination'' section of this notice."
"","Justice Department; Antitrust Division","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06585/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-network-centric","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06585.pdf","04/04/2017","","Notice Pursuant to the National Cooperative Research and Production Act of 1993-Network Centric Operations Industry Consortium, Inc.","",""
"","Justice Department; Antitrust Division","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06589/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-national","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06589.pdf","04/04/2017","","Notice Pursuant to the National Cooperative Research and Production Act of 1993-National Shipbuilding Research Program","",""
"","Commerce Department; International Trade Administration","","","04/04/2017","https://www.federalregister.gov/documents/2017/04/04/2017-06628/certain-carbon-and-alloy-steel-cut-to-length-plate-from-the-federal-republic-of-germany-final","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06628.pdf","04/04/2017","","Certain Carbon and Alloy Steel Cut-to-Length Plate From the Federal Republic of Germany: Final Determination of Sales at Less Than Fair Value","","The Department of Commerce (the Department) determines that certain carbon and alloy steel cut-to-length plate (CTL plate) from the Federal Republic of Germany (Germany) is being, or is likely to be, sold in the United States at less than fair value (LTFV). The period of investigation (POI) is April 1, 2015, through March 31, 2016. The final dumping margins of sales at LTFV are listed below in the ``Final Determination'' section of this notice."
"Notice; request for comments.","Interior Department; Fish and Wildlife Service","","05/04/2017","","https://www.federalregister.gov/documents/2017/04/04/2017-06649/information-collection-request-sent-to-the-office-of-management-and-budget-for-approval-incidental","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06649.pdf","04/04/2017","","Information Collection Request Sent to the Office of Management and Budget for Approval; Incidental Take of Marine Mammals During Specified Activities","","We (U.S. Fish and Wildlife Service) have sent an Information Collection Request (ICR) to the Office of Management and Budget (OMB) for review and approval. We summarize the ICR below and describe the nature of the collection and the estimated burden and cost. This information collection is scheduled to expire on March 31, 2017. We may not conduct or sponsor and a person is not required to respond to a collection of information unless it displays a currently valid OMB control number. However, under OMB regulations, we may continue to conduct or sponsor this information collection while it is pending at OMB."
"Notice.","Federal Reserve System","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06021/solicitation-of-applications-for-membership-on-the-community-advisory-council","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06021.pdf","04/04/2017","","Solicitation of Applications for Membership on the Community Advisory Council","","The Board of Governors of the Federal Reserve System (Board) established the Community Advisory Council (the ``CAC'') as an advisory committee to the Board on issues affecting consumers and communities. This Notice advises individuals who wish to serve as CAC members of the opportunity to be considered for the CAC."
"Annual open meeting notice.","National Archives and Records Administration; Office of Government Information Services","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06650/office-of-government-information-services-ogis-annual-open-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06650.pdf","04/04/2017","","Office of Government Information Services (OGIS); Annual Open Meeting","","We are conducting an annual meeting open to the public. The purpose of the meeting is to discuss OGIS's reviews and reports and to allow interested people to present oral or written statements."
"","Health and Human Services Department; National Institutes of Health","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06553/national-institute-on-aging-notice-of-closed-meetings","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06553.pdf","04/04/2017","","National Institute on Aging; Notice of Closed Meetings","",""
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06611/combined-notice-of-filings","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06611.pdf","04/04/2017","","Combined Notice of Filings","",""
"","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06571/order-granting-application-by-c2-options-exchange-incorporated-for-an-exemption-pursuant-to-section","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06571.pdf","04/04/2017","03/29/2017","Order Granting Application by C2 Options Exchange, Incorporated for an Exemption Pursuant to Section 36(a) of the Exchange Act From the Rule Filing Requirements of Section 19(b) of the Exchange Act With Respect to Certain Rules Incorporated by Reference","",""
"Notice of hearing and opportunity to petition for leave to intervene; order imposing procedures.","Nuclear Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06625/tennessee-valley-authority-clinch-river-nuclear-site-early-site-permit-application-and-associated","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06625.pdf","04/04/2017","","Tennessee Valley Authority; Clinch River Nuclear Site Early Site Permit Application and Associated Order Imposing Procedures for Access to Sensitive Unclassified Non-Safeguards Information and Safeguards Information","","On May 12, 2016, the Tennessee Valley Authority (TVA) submitted an application to the U.S. Nuclear Regulatory Commission (NRC) for an early site permit (ESP) for the Clinch River Nuclear (CRN) Site located in Oak Ridge, Tennessee. A notice of receipt and availability of this application was published in the Federal Register on June 23, 2016. The TVA also provided supplemental information in support of the application to the NRC. Notice of the NRC's docketing of the application was published in the Federal Register on January 12, 2017. A hearing will be held, at a time and place to be set in the future by the NRC or designated by the Atomic Safety and Licensing Board (Board). The hearing will consider the application dated May 12, 2016."
"","Justice Department; Antitrust Division","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06584/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-cooperative-research","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06584.pdf","04/04/2017","","Notice Pursuant to the National Cooperative Research and Production Act of 1993-Cooperative Research Group on Consortium for NASGRO Development and Support","",""
"Notice.","State Department","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06646/notice-of-issuance-of-a-presidential-permit-to-transcanada-keystone-pipeline-lp","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06646.pdf","04/04/2017","","Notice of Issuance of a Presidential Permit to TransCanada Keystone Pipeline, L.P.","","The Under Secretary of State for Political Affairs issued a Presidential permit to TransCanada Keystone Pipeline, L.P. (``Keystone'') on March 23, 2017, authorizing Keystone to construct, connect, operate, and maintain pipeline facilities at the U.S.-Canada border in Phillips County, Montana for the importation of crude oil. In accordance with Executive Order 13337 (April 30, 2004) and the January 24, 2017 Presidential Memorandum Regarding Construction of the Keystone XL Pipeline, the Under Secretary determined that issuance of this permit would serve the national interest."
"","Health and Human Services Department; Centers for Disease Control and Prevention","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06537/disease-disability-and-injury-prevention-and-control-special-emphasis-panel-sep-initial-review","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06537.pdf","04/04/2017","","Disease, Disability, and Injury Prevention and Control Special Emphasis Panel (SEP): Initial Review","",""
"Notice of information collection.","National Aeronautics and Space Administration","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06547/notice-of-information-collection","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06547.pdf","04/04/2017","","Notice of Information Collection","","The National Aeronautics and Space Administration, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995 (Pub. L. 104-13, 44 U.S.C. 3506(c)(2)(A))."
"","Federal Communications Commission","","","","https://www.federalregister.gov/documents/2017/04/04/C1-2017-05665/connect-america-fund-universal-service-reform-mobility-fund","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/C1-2017-05665.pdf","04/04/2017","","Connect America Fund; Universal Service Reform-Mobility Fund","",""
"","Commerce Department; International Trade Administration","","","03/28/2017","https://www.federalregister.gov/documents/2017/04/04/2017-06622/silicon-metal-from-australia-brazil-and-kazakhstan-initiation-of-countervailing-duty-investigations","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06622.pdf","04/04/2017","","Silicon Metal From Australia, Brazil, and Kazakhstan: Initiation of Countervailing Duty Investigations","",""
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06607/meadow-lake-wind-farm-v-llc-supplemental-notice-that-initial-market-based-rate-filing-includes","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06607.pdf","04/04/2017","","Meadow Lake Wind Farm V LLC; Supplemental Notice That Initial Market-Based Rate Filing Includes Request for Blanket Section 204 Authorization","",""
"Notice.","Treasury Department; Foreign Assets Control Office","","","03/30/2017","https://www.federalregister.gov/documents/2017/04/04/2017-06598/sanctions-actions-pursuant-to-executive-order-13224","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06598.pdf","04/04/2017","","Sanctions Actions Pursuant to Executive Order 13224","","The Department of the Treasury's Office of Foreign Assets Control (OFAC) is publishing the names of 2 individuals whose property and interests in property are blocked pursuant to Executive Order 13224 of September 23, 2001, ``Blocking Property and Prohibiting Transactions With Persons Who Commit, Threaten To Commit, or Support Terrorism.''"
"","Health and Human Services Department; Centers for Disease Control and Prevention","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06536/disease-disability-and-injury-prevention-and-control-special-emphasis-panel-sep-initial-review","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06536.pdf","04/04/2017","","Disease, Disability, and Injury Prevention and Control Special Emphasis Panel (SEP): Initial Review","",""
"Confirmatory order; issuance.","Nuclear Regulatory Commission","","","03/28/2017","https://www.federalregister.gov/documents/2017/04/04/2017-06645/in-the-matter-of-homestake-mining-company-of-california-grants-reclamation-project","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06645.pdf","04/04/2017","","In the Matter of Homestake Mining Company of California; Grants Reclamation Project","","The U.S. Nuclear Regulatory Commission (NRC) is issuing a confirmatory order (Order) to Homestake Mining Company of California (HMC), to memorialize the agreements reached during alternative dispute resolution mediation sessions held on December 12, 2016, and February 15, 2017. This Order will resolve the apparent violations that were identified during an NRC records review to determine if HMC was in compliance with regulatory and license requirements for HMC's activities at the Grants, New Mexico site. This Order is effective upon its issuance."
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06610/odyssey-solar-llc-supplemental-notice-that-initial-market-based-rate-filing-includes-request-for","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06610.pdf","04/04/2017","","Odyssey Solar, LLC; Supplemental Notice That Initial Market-Based Rate Filing Includes Request for Blanket Section 204 Authorization","",""
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06606/arkwright-summit-wind-farm-llc-supplemental-notice-that-initial-market-based-rate-filing-includes","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06606.pdf","04/04/2017","","Arkwright Summit Wind Farm LLC; Supplemental Notice That Initial Market-Based Rate Filing Includes Request for Blanket Section 204 Authorization","",""
"","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06570/order-granting-application-by-miax-pearl-llc-for-an-exemption-pursuant-to-section-36a-of-the","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06570.pdf","04/04/2017","03/29/2017","Order Granting Application by MIAX PEARL, LLC for an Exemption Pursuant to Section 36(a) of the Exchange Act From the Rule Filing Requirements of Section 19(b) of the Exchange Act With Respect to Certain Rules Incorporated by Reference","",""
"","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06569/self-regulatory-organizations-nyse-mkt-llc-notice-of-designation-of-a-longer-period-for-commission","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06569.pdf","04/04/2017","03/29/2017","Self-Regulatory Organizations; NYSE MKT LLC; Notice of Designation of a Longer Period for Commission Action on a Proposed Rule Change To Adopt New Equities Trading Rules To Transition Trading on the Exchange From a Floor Based Market With a Parity Allocation Model to Fully Automated Price-Time Priority Model on the Exchange's New Trading Technology Platform, Pillar","",""
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06613/playa-solar-2-llc-supplemental-notice-that-initial-market-based-rate-filing-includes-request-for","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06613.pdf","04/04/2017","","Playa Solar 2, LLC; Supplemental Notice That Initial Market-Based Rate Filing Includes Request for Blanket Section 204 Authorization","",""
