"action","agency_names","comment_url","comments_close_on","effective_on","html_url","pdf_url","publication_date","signing_date","title","topics","abstract"
"Advance notice of proposed rulemaking (ANPRM).","Homeland Security Department; Transportation Security Administration",NA,"5/15/2017",NA,"https://www.federalregister.gov/documents/2016/12/16/2016-28300/surface-transportation-vulnerability-assessments-and-security-plans-vasp","https://www.gpo.gov/fdsys/pkg/FR-2016-12-16/pdf/2016-28300.pdf","12/16/2016",NA,"Surface Transportation Vulnerability Assessments and Security Plans (VASP)",NA,"The Transportation Security Administration (TSA) is issuing this ANPRM to request public comments on several topics relevant to the development of surface transportation vulnerability assessment and security plan regulations mandated by the Implementing Recommendations of the 9/11 Commission Act of 2007 (9/11 Act). Based on its regular interaction with stakeholders, TSA assumes many higher-risk railroads (freight and passenger), public transportation agencies, and over-the- road buses (OTRBs) have implemented security programs with security measures similar to those identified by the 9/11 Act's regulatory requirements. In general, TSA is requesting information on three types of issues. First, existing practices, standards, tools, or other resources used or available for conducting vulnerability assessments and developing security plans. Second, information on existing security measures, including whether implemented voluntarily or in response to other regulatory requirements, and the potential impact of additional requirements on operations. Third, information on the scope/cost of current security systems and other measures used to provide security and mitigate vulnerabilities. This information is necessary for TSA to establish the current baseline, estimate cost of implementing the statutory mandate, and develop appropriate performance standards. While TSA will review and consider all comments submitted, TSA invites responses to a number of specific questions posed in the ANPRM. See the Comments Invited section under SUPPLEMENTARY INFORMATION that follows."
"Notice.","Health and Human Services Department; Food and Drug Administration","http://www.regulations.gov/#!submitComment;D=FDA-2016-E-1182-0006","6/26/2017",NA,"https://www.federalregister.gov/documents/2016/12/28/2016-31322/determination-of-regulatory-review-period-for-purposes-of-patent-extension-imlygic","https://www.gpo.gov/fdsys/pkg/FR-2016-12-28/pdf/2016-31322.pdf","12/28/2016",NA,"Determination of Regulatory Review Period for Purposes of Patent Extension; IMLYGIC",NA,"The Food and Drug Administration (FDA) has determined the regulatory review period for IMLYGIC and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product."
"Notification; extension of comment period.","Health and Human Services Department; Food and Drug Administration","http://www.regulations.gov/#!submitComment;D=FDA-2016-D-2335-0731","4/26/2017",NA,"https://www.federalregister.gov/documents/2016/12/30/2016-31734/use-of-the-term-healthy-in-the-labeling-of-human-food-products-request-for-information-and-comments","https://www.gpo.gov/fdsys/pkg/FR-2016-12-30/pdf/2016-31734.pdf","12/30/2016",NA,"Use of the Term “Healthy” in the Labeling of Human Food Products; Request for Information and Comments; Extension of Comment Period",NA,"The Food and Drug Administration (FDA or we) is extending the comment period for a docket to receive information and comments on the use of the term ``healthy'' in the labeling of human food products. We established the docket through a notice that appeared in the Federal Register of September 28, 2016. In the notice, we requested comments on the term ``healthy'', generally, and as a nutrient content claim in the context of food labeling; we also requested comments on specific questions contained in the notice. We are taking this action in response to requests for an extension to allow interested persons additional time to submit comments."
"Public workshop; establishment of public docket; request for data, information, and comments.","Health and Human Services Department; Food and Drug Administration","http://www.regulations.gov/#!submitComment;D=FDA-2016-N-4232-0001","5/22/2017",NA,"https://www.federalregister.gov/documents/2017/01/04/2016-31857/battery-safety-concerns-in-electronic-nicotine-delivery-systems-public-workshop-establishment-of-a","https://www.gpo.gov/fdsys/pkg/FR-2017-01-04/pdf/2016-31857.pdf","1/4/2017",NA,"Battery Safety Concerns in Electronic Nicotine Delivery Systems; Public Workshop; Establishment of a Public Docket; Request for Comments",NA,"The Food and Drug Administration (FDA) Center for Tobacco Products (CTP) is announcing several actions concerning issues related to batteries used in electronic nicotine delivery systems (ENDS), including electronic cigarettes (e-cigarettes). These actions are intended to give CTP staff an opportunity to hear from the public, including tobacco product manufacturers, importers, researchers, and academic investigators, about ENDS battery safety concerns (e.g., overheating, fire, explosion), risk mitigation, and design parameters. Additionally, FDA is interested in information related to communication to consumers and the general public related to ENDS battery safety concerns. FDA is announcing a public workshop on ENDS batteries and safety hazards. The 2-day public workshop will include presentations and panel discussions about ENDS battery safety concerns as well as how potential safety hazards and risks are communicated to consumers and the general public. In conjunction with the public workshop, FDA is establishing a public docket to gather data and information on hazards and risks associated with the use of batteries in ENDS. Regardless of attendance at the public workshop, interested parties are invited to submit comments, including data and research."
"Notice; public challenge.","Federal Trade Commission","http://www.regulations.gov/#!submitComment;D=FTC-2017-0005-0001","5/22/2017",NA,"https://www.federalregister.gov/documents/2017/01/04/2016-31731/iot-home-inspector-challenge","https://www.gpo.gov/fdsys/pkg/FR-2017-01-04/pdf/2016-31731.pdf","1/4/2017",NA,"IoT Home Inspector Challenge",NA,"The Federal Trade Commission (``FTC'') announces a prize competition that challenges the public to create a technical solution (``tool'') that consumers can deploy to guard against security vulnerabilities in software on the Internet of Things (``IoT'') devices in their homes. The tool would, at a minimum, help protect consumers from security vulnerabilities caused by out-of-date software. Contestants have the option of adding features, such as those that would address hard-coded, factory default or easy-to-guess passwords. The prize for the competition is up to $25,000, with $3,000 available for each honorable mention winner(s). Winners will be announced on or about July 27, 2017."
"Proposed rule.","Environmental Protection Agency",NA,"5/6/2017",NA,"https://www.federalregister.gov/documents/2017/01/06/2016-31921/addition-of-natural-gas-processing-facilities-to-the-toxics-release-inventory-tri","https://www.gpo.gov/fdsys/pkg/FR-2017-01-06/pdf/2016-31921.pdf","1/6/2017",NA,"Addition of Natural Gas Processing Facilities to the Toxics Release Inventory (TRI)","Environmental protection; Reporting and recordkeeping requirements","EPA is proposing to add natural gas processing (NGP) facilities (also known as natural gas liquid extraction facilities) to the scope of the industrial sectors covered by the reporting requirements of section 313 of the Emergency Planning and Community Right-to-Know Act (EPCRA), commonly known as the Toxics Release Inventory (TRI) and section 6607 of the Pollution Prevention Act (PPA). Adding these facilities would meaningfully increase the information available to the public on releases and other waste management of listed chemicals from the natural gas processing sector and further the purposes of EPCRA section 313. EPA estimates that at least 282 NGP facilities in the U.S. would meet the TRI employee threshold (10 full- time employees or equivalent) and manufacture, process, or otherwise use (threshold activities) at least one TRI-listed chemical in excess of applicable threshold quantities. NGP facilities in the U.S. manufacture, process, or otherwise use more than 21 different TRI- listed chemicals, including n-hexane, hydrogen sulfide, toluene, benzene, xylene, and methanol. EPA expects that TRI reporting by U.S. NGP facilities would provide significant release and waste management data on these chemicals to the public."
"Notice of proposed rulemaking.","Energy Department","http://www.regulations.gov/#!submitComment;D=EERE-2014-BT-STD-0048-0103","4/26/2017",NA,"https://www.federalregister.gov/documents/2017/01/06/2016-29990/energy-conservation-program-energy-conservation-standards-for-consumer-central-air-conditioners-and","https://www.gpo.gov/fdsys/pkg/FR-2017-01-06/pdf/2016-29990.pdf","1/6/2017",NA,"Energy Conservation Program: Energy Conservation Standards for Consumer Central Air Conditioners and Heat Pumps",NA,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products, including consumer central air conditioners and heat pumps. EPCA also requires the U.S. Department of Energy (DOE) to periodically determine whether more-stringent, amended standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this proposed rule, DOE proposes to amend the energy conservation standards for consumer central air conditioners and heat pumps identical to those set forth in a direct final rule published elsewhere in this Federal Register. If DOE receives an adverse comment and determines that such comment may provide a reasonable basis for withdrawing the direct final rule, DOE will publish a notice withdrawing the direct final rule and will proceed with this proposed rule."
"Direct final rule.","Energy Department",NA,"4/26/2017","5/8/2017","https://www.federalregister.gov/documents/2017/01/06/2016-29992/energy-conservation-program-energy-conservation-standards-for-residential-central-air-conditioners","https://www.gpo.gov/fdsys/pkg/FR-2017-01-06/pdf/2016-29992.pdf","1/6/2017",NA,"Energy Conservation Program: Energy Conservation Standards for Residential Central Air Conditioners and Heat Pumps","Administrative practice and procedure; Confidential business information; Energy conservation; Household appliances; Imports; Intergovernmental relations; Small businesses","The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including residential central air conditioners and heat pumps. EPCA also requires the U.S. Department of Energy (DOE) to periodically determine whether more-stringent, amended standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this direct final rule, DOE adopts amended energy conservation standards for residential central air conditioners and heat pumps."
"Request for information; reopening of the comment period.","Labor Department; Mine Safety and Health Administration","http://www.regulations.gov/#!submitComment;D=MSHA-2014-0031-0076","1/9/2018",NA,"https://www.federalregister.gov/documents/2017/01/09/2017-00104/exposure-of-underground-miners-to-diesel-exhaust","https://www.gpo.gov/fdsys/pkg/FR-2017-01-09/pdf/2017-00104.pdf","1/9/2017",NA,"Exposure of Underground Miners to Diesel Exhaust",NA,"In response to requests from the public, the Mine Safety and Health Administration (MSHA) is reopening the proposed rulemaking record for public comment on the Agency's request for information on Exposure of Underground Miners to Diesel Exhaust."
"Reopening of comment period.","Homeland Security Department; Coast Guard","http://www.regulations.gov/#!submitComment;D=USCG-2016-0437-0043","4/10/2017",NA,"https://www.federalregister.gov/documents/2017/01/10/2017-00319/update-to-alternative-planning-criteria-apc-national-guidelines","https://www.gpo.gov/fdsys/pkg/FR-2017-01-10/pdf/2017-00319.pdf","1/10/2017",NA,"Update to Alternative Planning Criteria (APC) National Guidelines",NA,"The Coast Guard is reopening the comment period on the draft Alternative Planning Criteria (APC) National Guidelines. The available draft is the same as that which was made available for comment in May 2016. The APC Guidelines would provide the maritime industry with updated information on the development and submission of an APC request made pursuant to existing regulations. In addition to providing guidance to vessel owners and operators on developing APC requests, the APC Guidelines would also facilitate consistency in the review of APC requests by Coast Guard personnel. Comments previously submitted do not need to be submitted again."
"Proposed revised Policy Statements.","Federal Financial Institutions Examination Council","http://www.regulations.gov/#!submitComment;D=ASC-2017-0001-0001","4/10/2017",NA,"https://www.federalregister.gov/documents/2017/01/10/2017-00262/appraisal-subcommittee-proposed-revised-policy-statements","https://www.gpo.gov/fdsys/pkg/FR-2017-01-10/pdf/2017-00262.pdf","1/10/2017",NA,"Appraisal Subcommittee; Proposed Revised Policy Statements",NA,"The Appraisal Subcommittee (ASC) of the Federal Financial Institutions Examination Council requests public comment on a proposal to revise ASC Policy Statements (proposed Policy Statements). The proposed Policy Statements provide guidance to ensure State appraiser regulatory programs comply with Title XI of the Financial Institutions Reform, Recovery, and Enforcement Act of 1989, as amended, and the rules promulgated thereunder. The proposed Policy Statements would supersede the current ASC Policy Statements."
"Advance notice of proposed rulemaking.","Homeland Security Department","http://www.regulations.gov/#!submitComment;D=USCIS-2016-0008-0001","4/11/2017",NA,"https://www.federalregister.gov/documents/2017/01/11/2017-00441/eb-5-immigrant-investor-regional-center-program","https://www.gpo.gov/fdsys/pkg/FR-2017-01-11/pdf/2017-00441.pdf","1/11/2017",NA,"EB-5 Immigrant Investor Regional Center Program",NA,"The Department of Homeland Security (DHS) is considering making regulatory changes to the EB-5 Immigrant Investor Regional Center Program. Based on decades of experience operating the program, DHS has determined that program changes are needed to better reflect business realities for regional centers and EB-5 immigrant investors, to increase predictability and transparency in the adjudication process for stakeholders, to improve operational efficiency for the agency, and to enhance program integrity. This Advance Notice of Proposed Rulemaking (ANPRM) is organized to include requests for comment immediately following discussions of the relevant issues."
"Supplemental advance notice of proposed rulemaking.","Homeland Security Department; Federal Emergency Management Agency","http://www.regulations.gov/#!submitComment;D=FEMA-2016-0003-0150","4/12/2017",NA,"https://www.federalregister.gov/documents/2017/01/12/2017-00467/establishing-a-deductible-for-femas-public-assistance-program","https://www.gpo.gov/fdsys/pkg/FR-2017-01-12/pdf/2017-00467.pdf","1/12/2017",NA,"Establishing a Deductible for FEMA's Public Assistance Program",NA,"The Federal Emergency Management Agency (FEMA) is considering implementing a Public Assistance deductible that would condition States' receipt of FEMA reimbursement for the repair and replacement of public infrastructure damaged by a disaster event. The primary intent of the deductible concept is to incentivize greater State resilience to future disasters, thereby reducing future disaster costs nationally. On January 20, 2016, FEMA (the Agency) published an Advance Notice of Proposed Rulemaking (ANPRM) seeking comment on a Public Assistance deductible concept. The ANPRM provided a general description of the concept that many commenters found insufficient to provide meaningful comment. In an effort to offer the public a more detailed deductible concept upon which to provide additional feedback, the Agency is issuing a supplemental ANPRM (SANPRM) that presents a conceptual deductible program, including a methodology for calculating deductible amounts based on a combination of each State's fiscal capacity and disaster risk, a proposed credit structure to reward States for undertaking resilience-building activities, and a description of how FEMA could consider implementing the program. At this stage of the rulemaking process, the deductible remains only something that FEMA is considering. The policy conceived of in this document is not a proposal. In this document, FEMA is providing what is merely a description of a direction FEMA could take in future rulemaking in an effort to solicit further feedback from the public. After considering the comments it receives, or as a result of other factors, FEMA may expand on or redevelop this concept."
"Notice of Proposed Rulemaking (NPRM).","Transportation Department; National Highway Traffic Safety Administration","http://www.regulations.gov/#!submitComment;D=NHTSA-2016-0126-0009","4/12/2017",NA,"https://www.federalregister.gov/documents/2017/01/12/2016-31059/federal-motor-vehicle-safety-standards-v2v-communications","https://www.gpo.gov/fdsys/pkg/FR-2017-01-12/pdf/2016-31059.pdf","1/12/2017",NA,"Federal Motor Vehicle Safety Standards; V2V Communications","Motor vehicle safety; Motor vehicles","This document proposes to establish a new Federal Motor Vehicle Safety Standard (FMVSS), No. 150, to mandate vehicle-to-vehicle (V2V) communications for new light vehicles and to standardize the message and format of V2V transmissions. This will create an information environment in which vehicle and device manufacturers can create and implement applications to improve safety, mobility, and the environment. Without a mandate to require and standardize V2V communications, the agency believes that manufacturers will not be able to move forward in an efficient way and that a critical mass of equipped vehicles would take many years to develop, if ever. Implementation of the new standard will enable vehicle manufacturers to develop safety applications that employ V2V communications as an input, two of which are estimated to prevent hundreds of thousands of crashes and prevent over one thousand fatalities annually."
"Notice; establishment of docket; request for comments.","Health and Human Services Department; Food and Drug Administration","http://www.regulations.gov/#!submitComment;D=FDA-2017-N-0086-0001","4/13/2017",NA,"https://www.federalregister.gov/documents/2017/01/13/2017-00646/suggestions-recommendations-and-comments-for-topics-that-may-be-considered-by-the-food-and-drug","https://www.gpo.gov/fdsys/pkg/FR-2017-01-13/pdf/2017-00646.pdf","1/13/2017",NA,"Suggestions, Recommendations, and Comments for Topics That May Be Considered by the Food and Drug Administration Combination Product Policy Council; Establishment of a Docket",NA,"The Food and Drug Administration (FDA) is establishing a docket to receive suggestions, recommendations, and comments for topics from interested parties, including academic institutions, regulated industry, patient representatives, and other interested organizations, on policy issues that may be considered by the FDA Combination Product Policy Council (Council). These comments will help the Agency identify and address combination product policy issues that need clarification through guidance, notice and comment procedures, or other means."
"Notice of public comment period.","Energy Department","http://www.regulations.gov/#!submitComment;D=DOE_FRDOC_0001-3304","4/14/2017",NA,"https://www.federalregister.gov/documents/2017/01/13/2017-00670/request-for-public-comment-on-draft-consent-based-siting-process-for-consolidated-storage-and","https://www.gpo.gov/fdsys/pkg/FR-2017-01-13/pdf/2017-00670.pdf","1/13/2017",NA,"Request for Public Comment on Draft Consent-Based Siting Process for Consolidated Storage and Disposal Facilities for Spent Nuclear Fuel and High-Level Radioactive Wastes",NA,"The U.S. Department of Energy (DOE) is designing a consent- based siting process to establish an integrated waste management system to transport, store, and dispose of commercial spent nuclear fuel and high-level radioactive waste. In a consent-based siting approach, DOE will work with communities, tribal governments and states across the country that express interest in hosting federal consolidated interim storage facilities and disposal facilities for spent nuclear fuel and high-level radioactive waste as part of an integrated waste management system. The Department is seeking input on the Draft Consent-Based Siting Process for Consolidated Storage and Disposal Facilities for Spent Nuclear Fuel and High-Level Radioactive Wastes."
"Notice of intent to prepare an environmental impact statement.","Agriculture Department; Forest Service","http://www.regulations.gov/#!submitComment;D=FS_FRDOC_0001-2505","4/13/2017",NA,"https://www.federalregister.gov/documents/2017/01/13/2017-00506/superior-national-forest-minnesota-application-for-withdrawal","https://www.gpo.gov/fdsys/pkg/FR-2017-01-13/pdf/2017-00506.pdf","1/13/2017",NA,"Superior National Forest; Minnesota; Application for Withdrawal",NA,"The United States Forest Service (USFS) has submitted an application to the Secretary of Interior proposing a withdrawal of approximately 234,328 acres of National Forest System (NFS) lands, for a 20-year term, within the Rainy River Watershed on the Superior National Forest from disposition under United States mineral and geothermal leasing laws, subject to valid existing rights. This proposal will also include an amendment to the Superior National Forest Land and Resource Management Plan to reflect this withdrawal. The purpose of the withdrawal request is protection of the natural resources and waters located on NFS lands from the potential adverse environmental impacts arising from exploration and development of fully Federally-owned minerals conducted pursuant to the mineral leasing laws within the Rainy River Watershed that flow into the Boundary Waters Canoe Area Wilderness (BWCAW) and the Boundary Waters Canoe Area Wilderness Mining Protection Area (MPA) in northeastern Minnesota. The USFS acknowledges this proposed request subjects these NFS lands to temporary segregation for up to 2 years from entry under the United States mineral and geothermal leasing laws. The lands have been and will remain open to such forms of use and disposition as may be allowed by law on National Forest System lands including the disposition of mineral materials. The USFS recognizes that any segregation or withdrawal of these lands will be subject to valid existing rights and therefore inapplicable to private lands owned in fee, private mineral estates, and private fractional minerals interests. This notice also gives the public an opportunity to comment on the proposed request for withdrawal, and announces the opportunity for a future public meeting."
"Notice of proposed rulemaking.","Homeland Security Department","http://www.regulations.gov/#!submitComment;D=USCIS-2016-0006-0001","4/11/2017",NA,"https://www.federalregister.gov/documents/2017/01/13/2017-00447/eb-5-immigrant-investor-program-modernization","https://www.gpo.gov/fdsys/pkg/FR-2017-01-13/pdf/2017-00447.pdf","1/13/2017",NA,"EB-5 Immigrant Investor Program Modernization",NA,"The Department of Homeland Security (DHS) proposes to amend its regulations governing the employment-based, fifth preference (EB-5) immigrant investor classification and associated regional centers to reflect statutory changes and modernize the EB-5 program. In general, under the EB-5 program, individuals are eligible to apply for lawful permanent residence in the United States if they make the necessary investment in a commercial enterprise in the United States and create or, in certain circumstances, preserve 10 permanent full-time jobs for qualified U.S. workers. This proposed rule would change the EB-5 program regulations to reflect statutory changes and codify existing policies. It would also change certain aspects of the EB-5 program in need of reform."
"Notice of receipt of petition; request for comments.","Commerce Department; National Oceanic and Atmospheric Administration","http://www.regulations.gov/#!submitComment;D=NOAA-NMFS-2016-0152-0001","4/13/2017",NA,"https://www.federalregister.gov/documents/2017/01/13/2017-00437/endangered-and-threatened-species-petition-for-rulemaking-to-establish-a-whale-protection-zone-for","https://www.gpo.gov/fdsys/pkg/FR-2017-01-13/pdf/2017-00437.pdf","1/13/2017",NA,"Endangered and Threatened Species; Petition for Rulemaking To Establish a Whale Protection Zone for Southern Resident Killer Whales",NA,"This document announces receipt by the National Marine Fisheries Service (NMFS) of a petition for rulemaking to establish a whale protection zone in the San Juan Islands, Washington, to support recovery of endangered Southern Resident killer whales. NMFS is requesting comments on the petition and will consider all comments and available information when determining whether to accept the petition and proceed with the suggested rulemaking."
"Notice of proposed rulemaking.","Federal Communications Commission","http://www.regulations.gov/#!submitComment;D=FCC-2017-0010-0001","4/14/2017",NA,"https://www.federalregister.gov/documents/2017/01/13/2017-00597/1998-biennial-regulatory-review-review-of-accounts-settlement-in-the-maritime-mobile-and-maritime","https://www.gpo.gov/fdsys/pkg/FR-2017-01-13/pdf/2017-00597.pdf","1/13/2017",NA,"1998 Biennial Regulatory Review-Review of Accounts Settlement in the Maritime Mobile and Maritime Mobile-Satellite Radio Services",NA,"In this document, the Federal Communications Commission (Commission) proposes to withdraw as an accounting authority and transition its functions and duties to private accounting authorities. The Commission seeks comment on a transition plan and a timetable to implement an orderly transition to the privatization of the accounts- settlement function."
